symbol,yahoo_symbol,asset_name,market,asset_type,country
030350,030350.KQ,드래곤플라이,KOSDAQ,STOCK,KR
030520,030520.KQ,한글과컴퓨터,KOSDAQ,STOCK,KR
030530,030530.KQ,원익홀딩스,KOSDAQ,STOCK,KR
030960,030960.KQ,양지사,KOSDAQ,STOCK,KR
031310,031310.KQ,아이즈비전,KOSDAQ,STOCK,KR
031330,031330.KQ,에스에이엠티,KOSDAQ,STOCK,KR
031510,031510.KQ,오스템,KOSDAQ,STOCK,KR
031860,031860.KQ,디에이치엑스컴퍼니,KOSDAQ,STOCK,KR
031980,031980.KQ,피에스케이홀딩스,KOSDAQ,STOCK,KR
032080,032080.KQ,아즈텍WB,KOSDAQ,STOCK,KR
032190,032190.KQ,다우데이타,KOSDAQ,STOCK,KR
032280,032280.KQ,삼일,KOSDAQ,STOCK,KR
032300,032300.KQ,한국파마,KOSDAQ,STOCK,KR
032500,032500.KQ,케이엠더블유,KOSDAQ,STOCK,KR
032540,032540.KQ,TJ미디어,KOSDAQ,STOCK,KR
032580,032580.KQ,피델릭스,KOSDAQ,STOCK,KR
032620,032620.KQ,GC메디아이,KOSDAQ,STOCK,KR
032680,032680.KQ,소프트센,KOSDAQ,STOCK,KR
032685,032685.KQ,소프트센우,KOSDAQ,STOCK,KR
032750,032750.KQ,삼진,KOSDAQ,STOCK,KR
032790,032790.KQ,엠젠솔루션,KOSDAQ,STOCK,KR
032800,032800.KQ,판타지오,KOSDAQ,STOCK,KR
032820,032820.KQ,우리기술,KOSDAQ,STOCK,KR
032850,032850.KQ,비트컴퓨터,KOSDAQ,STOCK,KR
032860,032860.KQ,더라미,KOSDAQ,STOCK,KR
032940,032940.KQ,원익,KOSDAQ,STOCK,KR
032960,032960.KQ,동일기연,KOSDAQ,STOCK,KR
032980,032980.KQ,바이온,KOSDAQ,STOCK,KR
033050,033050.KQ,제이엠아이,KOSDAQ,STOCK,KR
033100,033100.KQ,제룡전기,KOSDAQ,STOCK,KR
033130,033130.KQ,디지틀조선,KOSDAQ,STOCK,KR
033160,033160.KQ,엠케이전자,KOSDAQ,STOCK,KR
033170,033170.KQ,시그네틱스,KOSDAQ,STOCK,KR
033200,033200.KQ,모아텍,KOSDAQ,STOCK,KR
033230,033230.KQ,인성정보,KOSDAQ,STOCK,KR
033290,033290.KQ,로젠,KOSDAQ,STOCK,KR
033310,033310.KQ,엠투엔,KOSDAQ,STOCK,KR
033320,033320.KQ,제이씨현시스템,KOSDAQ,STOCK,KR
033340,033340.KQ,좋은사람들,KOSDAQ,STOCK,KR
033500,033500.KQ,동성화인텍,KOSDAQ,STOCK,KR
033540,033540.KQ,파라텍,KOSDAQ,STOCK,KR
033560,033560.KQ,블루콤,KOSDAQ,STOCK,KR
033640,033640.KQ,네패스,KOSDAQ,STOCK,KR
033790,033790.KQ,피노,KOSDAQ,STOCK,KR
033830,033830.KQ,티비씨,KOSDAQ,STOCK,KR
034810,034810.KQ,해성산업,KOSDAQ,STOCK,KR
03481K,03481K.KQ,해성산업1우,KOSDAQ,STOCK,KR
034940,034940.KQ,조아제약,KOSDAQ,STOCK,KR
034950,034950.KQ,한국기업평가,KOSDAQ,STOCK,KR
035080,035080.KQ,그래디언트,KOSDAQ,STOCK,KR
035200,035200.KQ,프럼파스트,KOSDAQ,STOCK,KR
035290,035290.KQ,골드앤에스,KOSDAQ,STOCK,KR
035460,035460.KQ,기산텔레콤,KOSDAQ,STOCK,KR
035600,035600.KQ,KG이니시스,KOSDAQ,STOCK,KR
035610,035610.KQ,솔본,KOSDAQ,STOCK,KR
035620,035620.KQ,바른손이앤에이,KOSDAQ,STOCK,KR
035760,035760.KQ,CJ ENM,KOSDAQ,STOCK,KR
035810,035810.KQ,이지홀딩스,KOSDAQ,STOCK,KR
035890,035890.KQ,서희건설,KOSDAQ,STOCK,KR
035900,035900.KQ,JYP Ent.,KOSDAQ,STOCK,KR
036000,036000.KQ,예림당,KOSDAQ,STOCK,KR
036010,036010.KQ,아비코전자,KOSDAQ,STOCK,KR
036030,036030.KQ,케이티알파,KOSDAQ,STOCK,KR
036090,036090.KQ,위지트,KOSDAQ,STOCK,KR
036120,036120.KQ,서울평가정보,KOSDAQ,STOCK,KR
036170,036170.KQ,에이치엠넥스,KOSDAQ,STOCK,KR
036190,036190.KQ,금화피에스시,KOSDAQ,STOCK,KR
036200,036200.KQ,유니셈,KOSDAQ,STOCK,KR
036220,036220.KQ,오상헬스케어,KOSDAQ,STOCK,KR
036480,036480.KQ,대성미생물,KOSDAQ,STOCK,KR
036540,036540.KQ,SFA반도체,KOSDAQ,STOCK,KR
036560,036560.KQ,KZ정밀,KOSDAQ,STOCK,KR
036620,036620.KQ,감성코퍼레이션,KOSDAQ,STOCK,KR
036630,036630.KQ,세종텔레콤,KOSDAQ,STOCK,KR
036640,036640.KQ,HRS,KOSDAQ,STOCK,KR
036670,036670.KQ,삼양케이씨아이,KOSDAQ,STOCK,KR
036690,036690.KQ,코맥스,KOSDAQ,STOCK,KR
036710,036710.KQ,심텍홀딩스,KOSDAQ,STOCK,KR
036800,036800.KQ,나이스정보통신,KOSDAQ,STOCK,KR
036810,036810.KQ,에프에스티,KOSDAQ,STOCK,KR
036830,036830.KQ,솔브레인홀딩스,KOSDAQ,STOCK,KR
036890,036890.KQ,진성티이씨,KOSDAQ,STOCK,KR
036930,036930.KQ,주성엔지니어링,KOSDAQ,STOCK,KR
037030,037030.KQ,파워넷,KOSDAQ,STOCK,KR
037070,037070.KQ,파세코,KOSDAQ,STOCK,KR
037230,037230.KQ,한국팩키지,KOSDAQ,STOCK,KR
037330,037330.KQ,인지디스플레,KOSDAQ,STOCK,KR
037350,037350.KQ,성도이엔지,KOSDAQ,STOCK,KR
037370,037370.KQ,EG,KOSDAQ,STOCK,KR
037400,037400.KQ,우리엔터프라이즈,KOSDAQ,STOCK,KR
037440,037440.KQ,희림,KOSDAQ,STOCK,KR
037460,037460.KQ,삼지전자,KOSDAQ,STOCK,KR
037760,037760.KQ,쎄니트,KOSDAQ,STOCK,KR
037950,037950.KQ,엘컴텍,KOSDAQ,STOCK,KR
038010,038010.KQ,제일테크노스,KOSDAQ,STOCK,KR
038060,038060.KQ,루멘스,KOSDAQ,STOCK,KR
038070,038070.KQ,서린바이오,KOSDAQ,STOCK,KR
038110,038110.KQ,에코플라스틱,KOSDAQ,STOCK,KR
038290,038290.KQ,마크로젠,KOSDAQ,STOCK,KR
038390,038390.KQ,레드캡투어,KOSDAQ,STOCK,KR
038460,038460.KQ,바이오스마트,KOSDAQ,STOCK,KR
038500,038500.KQ,삼표시멘트,KOSDAQ,STOCK,KR
038530,038530.KQ,케이바이오랩스,KOSDAQ,STOCK,KR
038540,038540.KQ,상상인,KOSDAQ,STOCK,KR
038620,038620.KQ,위즈코프,KOSDAQ,STOCK,KR
038680,038680.KQ,에스넷,KOSDAQ,STOCK,KR
038870,038870.KQ,에코심플렉스,KOSDAQ,STOCK,KR
038880,038880.KQ,아이에이,KOSDAQ,STOCK,KR
038950,038950.KQ,파인디지털,KOSDAQ,STOCK,KR
039010,039010.KQ,현대에이치티,KOSDAQ,STOCK,KR
039020,039020.KQ,이건홀딩스,KOSDAQ,STOCK,KR
039030,039030.KQ,이오테크닉스,KOSDAQ,STOCK,KR
039200,039200.KQ,오스코텍,KOSDAQ,STOCK,KR
039240,039240.KQ,경남스틸,KOSDAQ,STOCK,KR
039290,039290.KQ,인포뱅크,KOSDAQ,STOCK,KR
039310,039310.KQ,세중,KOSDAQ,STOCK,KR
039340,039340.KQ,한국경제TV,KOSDAQ,STOCK,KR
039420,039420.KQ,케이엘넷,KOSDAQ,STOCK,KR
039440,039440.KQ,에스티아이,KOSDAQ,STOCK,KR
039560,039560.KQ,다산네트웍스,KOSDAQ,STOCK,KR
039610,039610.KQ,화성밸브,KOSDAQ,STOCK,KR
039740,039740.KQ,한국정보공학,KOSDAQ,STOCK,KR
039830,039830.KQ,오로라,KOSDAQ,STOCK,KR
039840,039840.KQ,디오,KOSDAQ,STOCK,KR
039860,039860.KQ,나노엔텍,KOSDAQ,STOCK,KR
039980,039980.KQ,폴라리스AI,KOSDAQ,STOCK,KR
040160,040160.KQ,누리플렉스,KOSDAQ,STOCK,KR
040300,040300.KQ,YTN,KOSDAQ,STOCK,KR
040350,040350.KQ,크레오에스지,KOSDAQ,STOCK,KR
040420,040420.KQ,정상제이엘에스,KOSDAQ,STOCK,KR
040610,040610.KQ,SG&G,KOSDAQ,STOCK,KR
040910,040910.KQ,아이씨디,KOSDAQ,STOCK,KR
041020,041020.KQ,폴라리스오피스,KOSDAQ,STOCK,KR
041190,041190.KQ,우리기술투자,KOSDAQ,STOCK,KR
041440,041440.KQ,현대에버다임,KOSDAQ,STOCK,KR
041460,041460.KQ,한국전자인증,KOSDAQ,STOCK,KR
041510,041510.KQ,에스엠,KOSDAQ,STOCK,KR
041520,041520.KQ,이엘씨,KOSDAQ,STOCK,KR
041590,041590.KQ,플래스크,KOSDAQ,STOCK,KR
041830,041830.KQ,인바디,KOSDAQ,STOCK,KR
041910,041910.KQ,폴라리스AI파마,KOSDAQ,STOCK,KR
041920,041920.KQ,메디아나,KOSDAQ,STOCK,KR
041930,041930.KQ,SY동아,KOSDAQ,STOCK,KR
041960,041960.KQ,코미팜,KOSDAQ,STOCK,KR
042000,042000.KQ,카페24,KOSDAQ,STOCK,KR
042040,042040.KQ,케이피엠테크,KOSDAQ,STOCK,KR
042110,042110.KQ,에스씨디,KOSDAQ,STOCK,KR
042370,042370.KQ,비츠로테크,KOSDAQ,STOCK,KR
